#OTUID	taxonomy	confidence
0a8ce477a0c3a503bd0da2685c54d5fe	k__Metazoa;p__Arthropoda;c__Insecta;o__Orthoptera;f__Acrididae;g__Chorthippus;s__parallelus parallelus	1.0
0a946ac4fe3b5b92f1fd5ee1b403b139	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0a9abbb4c2f9b380862eab0854c91674	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
0aa60ae114db2feaef5073194f0b5ad3	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
0aac01df48c087b6165926ca925c1ce1	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
0abc4c1ba7c814a66363df5ba23a66aa	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
0ac3961b94bbbd0380d2b77a7531b7ba	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0ac5604014df7c73315d29668eaefbe3	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0aca85cf9c6676ca09e627104b4604fc	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
0acc96073469588f5b8d3bcf72789266	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0ad91e6f12fd988be2784d9d7f0c61e4	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0ae6dee5f8406564b163392e2147c4a8	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
0af3c6ae85979afc9998338a0c9fe2fc	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0af96c8fb2329f2a178a16bc0b546b96	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
0b01793a5629857a5b209624402887e6	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.7
0b0217a5847ea79629c42c6af1812ff7	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0b146bda59286609a75699bfb8cdaedb	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
0b17b3bd7a2445d608bdb9a21f74219d	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0b1cd5742cd8ebcdbb7184da0ab0f4fd	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Papilionidae;g__Papilio	0.55
0b2127fe8c621daac15308339a7690f2	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
0b2a2397dc1e69aea21e7a16fdb45ddc	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0b2df1c1ee765151933533ee450295aa	k__Metazoa;p__Arthropoda;c__Insecta	0.75
0b5249dc18dec4c3d693fc62567d8ef9	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
0b563c902d05935133312023943a76bd	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Lycaenidae	0.55
0b6723686c1ce42c9958ae8d108aab81	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
0b69a3c20ab4f7b286f01bbd872da811	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
0b74ffc27d9f09eb1ef0a65c1c66befc	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
0b7805a0a80b81a247caceb7fddfc86a	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
0bbdb83b962a0958248cf3a8e93b5e06	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0bf018fb7015d2bfecb91291042ea530	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.571
0c0216c4abe8aa357360083cbf2766a5	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.615
0c0279d1574db3335588b8d296ceb8f4	k__Metazoa;p__Arthropoda;c__Insecta	0.909
0c047894d3b1314312e6b97502675fd8	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0c3160a8f6c11376236dcdd846989260	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
0c394679157039545f1b94a229df337f	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0c4432c4996ecae02de39249640c9d5e	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
0c454a6b702f86eb39d63f97e62136fc	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0c4aeca2c9108627e5ecdacdc6bda592	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0c5cc795ac24b546d4a4352a577a0fa5	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0c6d0502ab32e1fb4d0eb79ceedb8af3	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
